2020-06-17T05:07:26.810Z,2020-06-12T19:43:12.668Z,379454142
2020-06-17T05:07:26.826Z,2020-06-12T19:43:39.673Z,379427153
2020-06-17T05:07:26.843Z,2020-06-12T19:43:13.669Z,379453174
2020-06-17T05:07:26.870Z,2020-06-12T19:43:40.668Z,379426202
2020-06-17T05:07:26.896Z,2020-06-12T19:43:14.668Z,379452228
2020-06-17T05:07:26.922Z,2020-06-12T19:43:41.669Z,379425253
2020-06-17T05:07:26.948Z,2020-06-12T19:43:15.668Z,379451280
2020-06-17T05:07:26.973Z,2020-06-12T19:43:42.668Z,379424305
2020-06-17T05:07:26.999Z,2020-06-12T19:43:16.667Z,379450332
2020-06-17T05:07:27.026Z,2020-06-12T19:43:43.823Z,379423203
2020-06-17T05:07:27.054Z,2020-06-12T19:43:17.668Z,379449386
2020-06-17T05:07:27.082Z,2020-06-12T19:43:44.668Z,379422414
2020-06-17T05:07:27.112Z,2020-06-12T19:43:18.669Z,379448443
2020-06-17T05:07:27.143Z,2020-06-12T19:43:45.668Z,379421475
2020-06-17T05:07:27.173Z,2020-06-12T19:43:19.668Z,379447505
2020-06-17T05:07:27.201Z,2020-06-12T19:43:46.669Z,379420532
2020-06-17T05:07:27.233Z,2020-06-12T19:43:20.667Z,379446566
2020-06-17T05:07:27.265Z,2020-06-12T19:43:47.672Z,379419593
2020-06-17T05:07:27.297Z,2020-06-12T19:43:21.687Z,379445610
2020-06-17T05:07:27.325Z,2020-06-12T19:43:48.667Z,379418658
2020-06-17T05:07:27.354Z,2020-06-12T19:43:22.668Z,379444686
2020-06-17T05:07:27.383Z,2020-06-12T19:43:49.668Z,379417715
2020-06-17T05:07:27.415Z,2020-06-12T19:43:23.681Z,379443734
2020-06-17T05:07:27.446Z,2020-06-12T19:43:50.668Z,379416778
2020-06-17T05:07:27.475Z,2020-06-12T19:43:24.667Z,379442808
2020-06-17T05:07:27.507Z,2020-06-12T19:43:51.673Z,379415834
2020-06-17T05:07:27.538Z,2020-06-12T19:43:25.667Z,379441871
2020-06-17T05:07:27.572Z,2020-06-12T19:43:52.667Z,379414905
